,Position,Salary Estimate,Rating,Organization,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist 1-1,-1,4.0,"Paypal
4.0",Chennai,-1,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
1,Data Scientist 1,₹512K - ₹622K (Glassdoor Est.),4.0,"Paypal
4.0",Chennai,-1,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
2,Data Scientist,₹420K - ₹600K (Glassdoor Est.),4.1,"Appirio
4.1",Hyderābād,-1,1001 to 5000 Employees,2006,Company - Private,Consulting,Business Services,$100 to $500 million (USD),-1
3,"Manager, Data Science",₹480K - ₹853K (Glassdoor Est.),3.7,"Aera Technology
3.7",Pune,-1,201 to 500 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
4,Senior Data Engineer,₹542K - ₹632K (Glassdoor Est.),4.1,"Navis LLC
4.1",Chennai,-1,501 to 1000 Employees,1988,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
5,Data Scientist,₹439K - ₹561K (Glassdoor Est.),4.0,"Ericsson-Worldwide
4.0",Chennai,-1,10000+ Employees,1876,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),-1
6,Data Scientist,-1,4.2,"Dell Technologies
4.2",Bangalore,-1,10000+ Employees,1984,Company - Public,IT Services,Information Technology,$10+ billion (USD),-1
7,Data Scientist,₹457K - ₹899K (Glassdoor Est.),3.9,"Nutanix
3.9",Bangalore,-1,5001 to 10000 Employees,2009,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
8,Data Scientist,₹457K - ₹899K (Glassdoor Est.),3.9,"Nutanix
3.9",Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
9,Data Scientist - Machine Learning,₹769K - ₹898K (Glassdoor Est.),4.3,"Blue Yonder
4.3",Bangalore,-1,5001 to 10000 Employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $2 billion (USD),-1
