,Position,Salary Estimate,Rating,Organization,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist 1-1,-1,-1,"Paypal
4.0",Chennai,-1,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
1,Data Scientist 1-1,-1,-1,"Paypal
4.0",Chennai,-1,-1,-1,-1,-1,-1,-1,-1
2,"Manager, Data Science",₹480K - ₹853K (Glassdoor Est.),-1,"Aera Technology
3.7",Pune,-1,201 to 500 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
3,Staff Big Data Engineer (Data Science/ML),₹439K - ₹820K (Glassdoor Est.),-1,"Integral Ad Science
3.5",Pune,-1,501 to 1000 Employees,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1
4,Senior / Data Science Engineer,"₹490K - ₹1,094K (Glassdoor Est.)",-1,"Gainsight
4.3",Hyderābād,-1,501 to 1000 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
5,Data Scientist,₹439K - ₹561K (Glassdoor Est.),-1,"Ericsson-Worldwide
4.0",Chennai,-1,10000+ Employees,1876,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),-1
6,Data Scientist,₹457K - ₹899K (Glassdoor Est.),-1,"Nutanix
3.9",Bangalore,-1,5001 to 10000 Employees,2009,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
7,Data Scientist,-1,-1,"Dell Technologies
4.2",Bangalore,-1,10000+ Employees,1984,Company - Public,IT Services,Information Technology,$10+ billion (USD),-1
8,Data Scientist,-1,-1,"Dell Technologies
4.2",Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
9,Senior Data Scientist,-1,-1,"Colgate-Palmolive
4.1",Mumbai,-1,10000+ Employees,1806,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
10,Senior Data Scientist,-1,-1,"Colgate-Palmolive
4.1",Mumbai,-1,-1,-1,-1,-1,-1,-1,-1
11,Data Scientist,₹594K - ₹715K (Glassdoor Est.),-1,"LT Technology Services
4.1",Bangalore,-1,10000+ Employees,2014,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),-1
12,Data Scientist,₹927K (Glassdoor Est.),-1,"Hewlett Packard Enterprise
4.2",Bangalore,-1,10000+ Employees,2015,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
13,Data Scientist,₹243K - ₹900K (Glassdoor Est.),-1,Tenzai,Bangalore,-1,Unknown,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
14,Data Scientist,₹243K - ₹900K (Glassdoor Est.),-1,Tenzai,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
15,Data Scientist,-1,-1,"TTEC
3.5",Andhra Pradesh,-1,10000+ Employees,1982,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1
16,Data Scientist,₹244K - ₹900K (Glassdoor Est.),-1,AceNet,Bangalore,-1,Unknown,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
17,Data Scientist,₹244K - ₹900K (Glassdoor Est.),-1,AceNet,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
18,Senior Big Data Engineer (Data Science/ML),₹683K - ₹981K (Glassdoor Est.),-1,"Integral Ad Science
3.5",Pune,-1,501 to 1000 Employees,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1
19,Senior Big Data Engineer (Data Science/ML),₹683K - ₹981K (Glassdoor Est.),-1,"Integral Ad Science
3.5",Pune,-1,-1,-1,-1,-1,-1,-1,-1
20,Associate-Data Science,₹559K - ₹669K (Glassdoor Est.),-1,"Accenture
3.9",Mumbai,-1,10000+ Employees,1989,Company - Public,Consulting,Business Services,$10+ billion (USD),-1
21,Data Scientist,-1,-1,"Larsen & Toubro Infotech Limited
3.6",India,-1,10000+ Employees,1997,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1
22,Data Scientist - Machine Learning,₹421K - ₹968K (Glassdoor Est.),-1,"Blue Yonder
4.3",Bangalore,-1,5001 to 10000 Employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $2 billion (USD),-1
23,Data Scientist,₹449K - ₹557K (Glassdoor Est.),-1,"Razorpay
3.9",Bangalore,-1,501 to 1000 Employees,2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
24,Data Scientist,-1,-1,Dell Technologies,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
25,Data Scientist,₹244K - ₹850K (Glassdoor Est.),-1,Acumont Solutions Private Limited,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
26,Data Scientist,₹244K - ₹850K (Glassdoor Est.),-1,Acumont Solutions Private Limited,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
